PostingID,Date,Company,Location,Experience,Skills,SalaryLPA
1,2026-08-21,Accenture,Bangalore,2-4 years,"Power BI, R, Excel, Statistics",7.4
2,2026-08-09,Accenture,Chennai,0-2 years,"SQL, Excel, Snowflake",9.3
3,2026-08-17,TCS,Chennai,Fresher,"R, AWS, Excel, Power BI, Tableau",5.9
4,2026-06-01,LatentView Analytics,Hyderabad,2-4 years,"Statistics, Tableau, Excel, AWS",19.4
5,2026-07-14,Accenture,Bangalore,0-2 years,"Statistics, R, Tableau",9.7
6,2026-06-06,IBM,Gurgaon,2-4 years,"AWS, Excel, Tableau",10.1
7,2026-08-20,Fractal Analytics,Pune,2-4 years,"Excel, SQL, Statistics",9.2
8,2026-07-08,Accenture,Hyderabad,Fresher,"Tableau, Snowflake, Statistics, Python",4.9
9,2026-07-16,Wipro,Mumbai,0-2 years,"Excel, Python, Tableau, Statistics, R",8.3
10,2026-07-19,Cognizant,Mumbai,2-4 years,"Power BI, Statistics, AWS, SQL, Excel",17.5
11,2026-07-11,Amazon,Pune,Fresher,"Statistics, Power BI, R",7.7
12,2026-08-22,Deloitte,Hyderabad,0-2 years,"Power BI, Tableau, Statistics",14.2
13,2026-08-14,Amazon,Pune,Fresher,"R, Snowflake, SQL",9.9
14,2026-06-15,Infosys,Mumbai,Fresher,"AWS, Excel, Power BI, R, Tableau",12.0
15,2026-08-07,Cognizant,Chennai,Fresher,"Excel, Tableau, AWS, Statistics, Python",4.4
16,2026-07-26,Infosys,Gurgaon,Fresher,"Tableau, Python, R, SQL, Snowflake",10.7
17,2026-08-04,Fractal Analytics,Hyderabad,Fresher,"Python, SQL, Tableau, R",7.7
18,2026-06-15,Google,Pune,Fresher,"Power BI, Excel, SQL",9.7
19,2026-06-09,LatentView Analytics,Chennai,Fresher,"Snowflake, Python, R",8.0
20,2026-08-17,Amazon,Hyderabad,2-4 years,"Power BI, Tableau, R, Statistics, Python",12.1
21,2026-08-06,Deloitte,Bangalore,Fresher,"Excel, Statistics, SQL",8.5
